GROUP	GroupName	OddsRatio	FisherExactP	TargetGene:DrugNames	Padj	Cat	transf
A00-A09	Intestinal infectious diseases	1.97918834547347	0.215350781551833	CHRM1:atropine,clidinium;CHRM4:atropine,ispaghula,mebeverine;KCNQ2:diclofenac	0.994177735509086	ICD	0.666853547755422
A15-A19	Tuberculosis	0.994350282485876	0.642674286284231	KCNQ2:diclofenac	1	ICD	0.192009076078817
A20-A28	Certain zoonotic bacterial diseases	1.08922558922559	0.610210640936268	KCNQ2:diclofenac	1	ICD	0.214520223341252
A30-A49	Other bacterial diseases	0.725378787878788	0.752608387118238	KCNQ2:diclofenac	1	ICD	0.123430946182413
A50-A64	Infections with a predominantly sexual mode of transmission	0.960755091902633	0.654911172671843	KCNQ2:diclofenac	1	ICD	0.183817600518915
A65-A69	Other spirochaetal diseases	1.08922558922559	0.610210640936268	KCNQ2:diclofenac	1	ICD	0.214520223341252
A70-A74	Other diseases caused by chlamydiae	1.08922558922559	0.610210640936268	KCNQ2:diclofenac	1	ICD	0.214520223341252
A75-A79	Rickettsioses	1.11034877072613	0.603382800539434	KCNQ2:diclofenac	1	ICD	0.219407073573154
A80-A89	Viral infections of the central nervous system	1.11034877072613	0.603382800539434	KCNQ2:diclofenac	1	ICD	0.219407073573154
A92-A99	Arthropod-borne viral fevers and viral haemorrhagic fevers	1.11034877072613	0.603382800539434	KCNQ2:diclofenac	1	ICD	0.219407073573154
B00-B09	Viral infections characterized by skin and mucous membrane lesions	0.872003618272275	0.68923113575726	KCNQ2:diclofenac	1	ICD	0.16163511169102
B15-B19	Viral hepatitis	2.28673835125448	0.163904089398917	CHRM1:tolterodine;CHRM4:tolterodine;KCNQ2:diclofenac	0.842390785050246	ICD	0.7854102106685
B20-B24	Human immunodeficiency virus (HIV) disease	1.06081081081081	0.57379398478794	GABRA3:midazolam;KCNQ2:diclofenac	1	ICD	0.241244008873391
B25-B34	Other viral diseases	1.09201388888889	0.558779623728083	GABRA3:midazolam;KCNQ2:diclofenac	1	ICD	0.252759439107249
B35-B49	Mycoses	0.914299242424242	0.672507227078827	KCNQ2:diclofenac	1	ICD	0.1723030441678
B50-B64	Protozoal diseases	0.65668044077135	0.785168657835957	KCNQ2:diclofenac	1	ICD	0.105037044783399
B65-B83	Helminthiases	0.872003618272275	0.68923113575726	KCNQ2:diclofenac	1	ICD	0.16163511169102
B85-B89	Pediculosis, acariasis and other infestations	0.885674931129477	0.683750771970321	KCNQ2:diclofenac	1	ICD	0.165102170329794
B90-B94	Sequelae of infectious and parasitic diseases	1.11034877072613	0.603382800539434	KCNQ2:diclofenac	1	ICD	0.219407073573154
B95-B98	Bacterial, viral and other infectious agents	1.03030303030303	0.630016678785813	KCNQ2:diclofenac	1	ICD	0.200647953072193
B99-B99	Other infectious diseases	1.11034877072613	0.603382800539434	KCNQ2:diclofenac	1	ICD	0.219407073573154
C00-C14	Malignant neoplasms of lip, oral cavity and pharynx	0.322020852284655	0.991556632968766	ABAT:valproic acid;ATP1A3:pbi-05204;CHRM4:l-651582	1	ICD	0.00368247592823962
C15-C26	Malignant neoplasms of digestive organs	0.417391304347826	0.978130587496542	ABAT:valproic acid;ATP1A3:pbi-05204;CHRM4:l-651582;MMP17:marimastat	1	ICD	0.00960315989219497
C30-C39	Malignant neoplasms of respiratory and intrathoracic organs	0.442424242424242	0.970201334814501	ABAT:valproic acid;ATP1A3:pbi-05204;CHRM4:l-651582;MMP17:marimastat	1	ICD	0.0131381322020461
C40-C41	Malignant neoplasms of bone and articular cartilage	0.369565217391304	0.981742186169615	ABAT:valproic acid;ATP1A3:pbi-05204;CHRM4:l-651582	1	ICD	0.00800254665741522
C43-C44	Melanoma and other malignant neoplasms of skin	0.431422505307856	0.973869677326617	ABAT:valproic acid;ATP1A3:pbi-05204;CHRM4:l-651582;KCNQ2:diclofenac	1	ICD	0.0114991562679265
C45-C49	Malignant neoplasms of mesothelial and soft tissue	0.365102639296188	0.98287167076295	ABAT:valproic acid;ATP1A3:pbi-05204;CHRM4:l-651582	1	ICD	0.00750318238937502
C50-C50	Malignant neoplasm of breast	0.347052280311457	0.986991217662858	ABAT:valproic acid;ATP1A3:pbi-05204;CHRM4:l-651582	1	ICD	0.00568671170475853
C51-C58	Malignant neoplasms of female genital organs	0.476758409785933	0.956898693274927	ABAT:valproic acid;ATP1A3:pbi-05204;CACNA1I:mibefradil;CHRM4:l-651582	1	ICD	0.0191340384828974
C60-C63	Malignant neoplasms of male genital organs	0.595366379310345	0.905997889065554	ABAT:valproic acid;ATP1A3:pbi-05204;CHRM1:tolterodine;CHRM4:l-651582,tolterodine;MAP1A:estramustine	1	ICD	0.0428728142086719
C64-C68	Malignant neoplasms of urinary tract	0.480985373364126	0.95506871958205	ABAT:valproic acid;ATP1A3:pbi-05204;CHRM1:fesoterodine fumarate,smp-986,thvd-201;CHRM4:l-651582,trospium	1	ICD	0.0199653787182821
C69-C72	Malignant neoplasms of eye, brain and other parts of central nervous system	0.359643102264928	0.984193189084864	ABAT:valproic acid,l-alanine;ATP1A3:pbi-05204;CHRM4:l-651582	1	ICD	0.00691964474097011
C73-C75	Malignant neoplasms of thyroid and other endocrine glands	0.366210257600371	0.98259548059669	ABAT:valproic acid;ATP1A3:pbi-05204;CHRM4:l-651582	1	ICD	0.0076252377143587
C76-C80	Malignant neoplasms of ill-defined, secondary and unspecified sites	0.387096774193548	0.976871221181902	ABAT:valproic acid;ATP1A3:pbi-05204;CHRM4:l-651582	1	ICD	0.0101626846091216
C81-C96	Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue	0.353846153846154	0.991851234654902	ABAT:valproic acid;ASRGL1:calaspargase pegol,graspa;ATP1A3:pbi-05204;CHRM4:l-651582	1	ICD	0.00355346173032533
C97-C97	Malignant neoplasms of independent (primary) multiple sites	0.551724137931034	0.873217820772122	ABAT:valproic acid;CHRM4:l-651582	1	ICD	0.058877409719631
D00-D09	In situ neoplasms	0.765120967741935	0.751247020425415	ABAT:valproic acid;CHRM4:l-651582;GABRA3:midazolam	1	ICD	0.124217237472221
D10-D36	Benign neoplasms	0.450617283950617	0.930278681577214	ABAT:valproic acid;CHRM4:l-651582	1	ICD	0.0313869312943952
D37-D48	Neoplasms of uncertain or unknown behaviour	0.477272727272727	0.916264451722493	ABAT:valproic acid;CHRM4:l-651582	1	ICD	0.0379791624148415
D50-D53	Nutritional anaemias	0	1		1	ICD	0
D55-D59	Haemolytic anaemias	0	1		1	ICD	0
D60-D64	Aplastic and other anaemias	0	1		1	ICD	0
D65-D69	Coagulation defects, purpura and other haemorrhagic conditions	0	1		1	ICD	0
D70-D77	Other diseases of blood and blood-forming organs	0	1		1	ICD	0
D80-D89	Certain disorders involving the immune mechanism	0	1		1	ICD	0
E00-E07	Disorders of thyroid gland	0	1		1	ICD	0
E10-E14	Diabetes mellitus	0.230276907001045	0.984757277067562	HRH3:abt-652,azd-5213,mk-0249	1	ICD	0.00667080119806975
E15-E16	Other disorders of glucose regulation and pancreatic internal secretion	0	1		1	ICD	0
E20-E35	Disorders of other endocrine glands	0.438336856941508	0.896737130825358	GPR88:compound 2	1	ICD	0.0473348472158517
E40-E46	Malnutrition	3.52584670231729	0.263226540075435	ABAT:l-alanine,pyridoxal phosphate,pyruvic acid	1	ICD	0.579670324681104
E50-E64	Other nutritional deficiencies	0	1		1	ICD	0
E65-E68	Obesity and other hyperalimentation	1.49609375	0.402856589440949	CHRM1:telenzepine;HRH3:a-331440,ath-90879,ciproxifan	1	ICD	0.394849528297857
E70-E90	Metabolic disorders	0.398452611218569	0.916916583487279	HRH3:suvn-g1031	1	ICD	0.0376701724859395
F00-F09	Organic, including symptomatic, mental disorders	5.4663651780667	0.00418634765078319	ABAT:k-828-ab;CHRM1:gsk1034702,itameline,milameline,scopolamine,sdz-210-086,sr-46559a,tazomeline,thiopilocarpine,ym-796,u-80816,biperiden;GABBR1:arbaclofen placarbil;HRH3:abt-239,ciproxifan,gsk-334429,gsk189254a,gsk239512,irdabisant,mk-3134,thioperamide,ucb-2892;PDE1B:ic-041	0.102798092313676	ICD	2.37816470897691
F10-F19	Mental and behavioural disorders due to psychoactive substance use	3.26724137931034	0.0282920245441476	ABAT:cpp-115;CHRM1:scopolamine;GABRA3:acamprosate,lorazepam,midazolam,propofol,topiramate;GRIN1:acamprosate;HRH3:jnj-39220675	0.416835828283775	ICD	1.54833597382643
